Ranking,Organization,Model,Dataset Score (N=104),Pct. Imputed
1,ForecastBench,Superforecaster median forecast,0.132,0%
2,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.152,0%
3,OpenAI,GPT-4 (zero shot),0.158,0%
4,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.159,0%
5,Mistral AI,Mistral-Large-Latest (zero shot),0.16,0%
6,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news),0.161,0%
7,OpenAI,GPT-4o (scratchpad),0.163,0%
8,Mistral AI,Mistral-Large-Latest (scratchpad),0.164,0%
9,Meta,Llama-3-70b-Chat-Hf (zero shot),0.171,0%
10,Anthropic,Claude-3-Opus-20240229 (scratchpad),0.172,0%
11,ForecastBench,Public median forecast,0.172,0%
12,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot),0.172,0%
13,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 1),0.174,0%
14,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 3),0.174,0%
15,Google,Gemini-1.5-Pro (scratchpad),0.175,0%
16,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),0.176,0%
17,Google,Gemini-1.5-Flash (zero shot),0.177,0%
18,OpenAI,GPT-4 (scratchpad),0.18,0%
19,Meta,Llama-3-70b-Chat-Hf (scratchpad),0.18,0%
20,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 2),0.182,0%
21,Mistral AI,Mistral-Large-Latest (superforecaster with news 2),0.182,0%
22,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad),0.183,0%
23,OpenAI,GPT-4o (scratchpad with news),0.183,0%
24,Anthropic,Claude-3-Opus-20240229 (zero shot),0.185,0%
25,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot),0.185,0%
26,Google,Gemini-1.5-Pro (scratchpad with news),0.187,0%
27,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad),0.188,0%
28,Google,Gemini-1.5-Flash (scratchpad),0.19,0%
29,Qwen,Qwen1.5-110B-Chat (zero shot),0.19,0%
30,Google,Gemini-1.5-Pro (zero shot),0.191,0%
31,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 3),0.192,0%
32,Qwen,Qwen1.5-110B-Chat (superforecaster with news 1),0.193,0%
33,Qwen,Qwen1.5-110B-Chat (scratchpad with news),0.194,0%
34,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",0.194,0%
