Ranking,Organization,Model,Dataset Score (N=210),Pct. Imputed
1,ForecastBench,Superforecaster median forecast,0.132,0%
2,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.156,0%
3,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.159,0%
4,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news),0.162,0%
5,Mistral AI,Mistral-Large-Latest (scratchpad),0.165,0%
6,ForecastBench,Public median forecast,0.166,0%
7,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),0.168,0%
8,OpenAI,GPT-4 (zero shot),0.17,0%
9,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 1),0.171,0%
10,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 3),0.173,4%
11,Mistral AI,Mistral-Large-Latest (zero shot),0.174,0%
12,OpenAI,GPT-4o (scratchpad),0.175,0%
13,Anthropic,Claude-3-Opus-20240229 (scratchpad),0.176,0%
14,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot),0.177,0%
15,Meta,Llama-3-70b-Chat-Hf (zero shot),0.178,0%
16,Google,Gemini-1.5-Pro (scratchpad),0.18,0%
17,OpenAI,GPT-4o (scratchpad with news),0.18,0%
18,Google,Gemini-1.5-Pro (scratchpad with news),0.183,0%
19,Google,Gemini-1.5-Flash (zero shot),0.184,0%
20,Anthropic,Claude-3-Opus-20240229 (zero shot),0.185,0%
21,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 2),0.186,0%
22,OpenAI,GPT-4 (scratchpad),0.187,0%
23,Meta,Llama-3-70b-Chat-Hf (scratchpad),0.188,0%
24,Google,Gemini-1.5-Pro (zero shot),0.188,0%
25,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad),0.191,0%
26,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad),0.193,0%
27,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 3),0.194,9%
28,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot),0.194,0%
29,Qwen,Qwen1.5-110B-Chat (scratchpad with news),0.195,0%
30,Google,Gemini-1.5-Pro (superforecaster with news 3),0.196,0%
31,Google,Gemini-1.5-Flash (scratchpad),0.196,0%
32,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad),0.196,0%
33,Qwen,Qwen1.5-110B-Chat (zero shot),0.197,0%
34,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),0.197,0%
35,Mistral AI,Mistral-Large-Latest (superforecaster with news 2),0.198,1%
36,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),0.198,0%
37,OpenAI,GPT-4o (superforecaster with news 1),0.199,0%
38,Meta,Llama-3-8b-Chat-Hf (zero shot),0.2,0%
39,Qwen,Qwen1.5-110B-Chat (superforecaster with news 1),0.201,0%
40,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news),0.202,0%
41,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),0.203,0%
42,Mistral AI,Mistral-Large-Latest (superforecaster with news 1),0.204,0%
43,OpenAI,GPT-4o (zero shot),0.205,0%
44,Anthropic,Claude-2.1 (scratchpad),0.205,0%
45,Anthropic,Claude-3-Opus-20240229 (scratchpad with news),0.205,0%
46,Qwen,Qwen1.5-110B-Chat (scratchpad),0.205,0%
47,Google,Gemini-1.5-Flash (scratchpad with news),0.206,0%
48,Mistral AI,Mistral-Large-Latest (scratchpad with news),0.207,0%
49,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),0.208,0%
50,Google,Gemini-1.5-Pro (superforecaster with news 1),0.209,0%
51,OpenAI,GPT-4o (superforecaster with news 3),0.21,8%
52,Google,Gemini-1.5-Flash (superforecaster with news 2),0.212,0%
53,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.212,0%
54,Anthropic,Claude-2.1 (scratchpad with news),0.212,0%
55,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 3),0.214,15%
56,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),0.216,0%
57,Anthropic,Claude-2.1 (zero shot),0.219,0%
58,Qwen,Qwen1.5-110B-Chat (superforecaster with news 2),0.22,3%
59,Google,Gemini-1.5-Flash (superforecaster with news 1),0.222,0%
60,Anthropic,Claude-2.1 (superforecaster with news 3),0.223,4%
61,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 3),0.223,21%
62,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",0.224,50%
63,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",0.224,50%
64,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",0.225,50%
65,Meta,Llama-3-8b-Chat-Hf (scratchpad),0.225,0%
66,Meta,Llama-2-70b-Chat-Hf (scratchpad),0.225,0%
67,Qwen,Qwen1.5-110B-Chat (superforecaster with news 3),0.225,8%
68,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 2),0.229,2%
69,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),0.231,2%
70,OpenAI,GPT-4o (superforecaster with news 2),0.233,1%
71,Mistral AI,Mistral-Large-Latest (superforecaster with news 3),0.234,9%
72,Anthropic,Claude-2.1 (superforecaster with news 2),0.234,0%
73,Google,Gemini-1.5-Pro (superforecaster with news 2),0.235,0%
74,Google,Gemini-1.5-Flash (superforecaster with news 3),0.237,12%
75,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 2),0.238,0%
76,Meta,Llama-2-70b-Chat-Hf (zero shot),0.24,0%
77,OpenAI,GPT-4o (scratchpad with SECOND news),0.241,2%
78,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),0.241,1%
79,Anthropic,Claude-3-Haiku-20240307 (scratchpad),0.242,0%
80,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),0.242,3%
81,OpenAI,GPT-3.5-Turbo-0125 (scratchpad),0.246,0%
82,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),0.247,1%
83,ForecastBench,Always 0.5,0.25,0%
83,ForecastBench,Imputed Forecaster,0.25,100%
85,Anthropic,Claude-2.1 (superforecaster with news 1),0.265,1%
86,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news),0.266,0%
87,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 3),0.268,29%
88,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),0.276,0%
89,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 1),0.278,0%
90,Anthropic,Claude-3-Haiku-20240307 (zero shot),0.289,1%
91,ForecastBench,Naive Forecaster,0.308,0%
92,ForecastBench,Random Uniform,0.308,0%
93,ForecastBench,Always 0,0.352,0%
94,OpenAI,GPT-3.5-Turbo-0125 (zero shot),0.401,0%
95,ForecastBench,Always 1,0.648,0%
