Ranking,Organization,Model,Dataset Score (N=114),Pct. Imputed
1,OpenAI,O3-Mini-2025-01-31 (zero shot),0.169,0%
2,DeepSeek,DeepSeek-R1 (scratchpad),0.169,0%
3,Anthropic,Claude-3-7-Sonnet-20250219 (scratchpad),0.17,0%
4,Anthropic,Claude-3-5-Sonnet-20241022 (zero shot),0.171,0%
5,DeepSeek,DeepSeek-V3 (scratchpad),0.171,0%
6,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.176,0%
7,OpenAI,O3-Mini-2025-01-31 (scratchpad),0.179,0%
8,OpenAI,GPT-4o-2024-05-13 (zero shot),0.182,0%
9,Mistral,Mistral-Large-2407 (zero shot),0.186,0%
10,DeepSeek,DeepSeek-V3 (zero shot),0.187,0%
11,Anthropic,Claude-3-7-Sonnet-20250219 (zero shot),0.188,0%
12,Anthropic,Claude-3-5-Sonnet-20241022 (scratchpad),0.189,0%
13,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.192,0%
14,xAI,Grok-2-1212 (zero shot),0.193,0%
15,OpenAI,GPT-4o-2024-05-13 (scratchpad),0.198,0%
16,DeepSeek,DeepSeek-R1 (zero shot),0.204,0%
17,Google,Gemini-2.5-Pro-Exp-03-25 (zero shot),0.205,0%
18,Meta,Llama-3.3-70B-Instruct-Turbo (zero shot),0.205,0%
19,Mistral,Mistral-Large-2407 (scratchpad),0.205,0%
20,Qwen,QwQ-32B-Preview (zero shot),0.206,0%
21,Qwen,QwQ-32B-Preview (scratchpad),0.212,0%
22,Meta,Llama-3.3-70B-Instruct-Turbo (scratchpad),0.213,0%
23,xAI,Grok-2-1212 (scratchpad),0.218,0%
24,Google,Gemini-2.0-Flash-Lite-001 (scratchpad),0.22,0%
25,Google,Gemini-2.5-Pro-Exp-03-25 (scratchpad),0.25,0%
26,ForecastBench,Imputed Forecaster,0.25,100%
26,ForecastBench,Always 0.5,0.25,0%
28,Google,Gemini-2.0-Flash-Lite-001 (zero shot),0.261,0%
29,ForecastBench,Naive Forecaster,0.263,0%
30,ForecastBench,Always 0,0.281,0%
31,ForecastBench,Random Uniform,0.335,0%
32,ForecastBench,Always 1,0.719,0%
