Ranking,Organization,Model,Dataset Score (N=228),Pct. Imputed
1,DeepSeek,DeepSeek-V3 (scratchpad),0.158,0%
2,Anthropic,Claude-3-7-Sonnet-20250219 (scratchpad),0.159,0%
3,DeepSeek,DeepSeek-R1 (scratchpad),0.161,0%
4,OpenAI,O3-Mini-2025-01-31 (zero shot),0.163,0%
5,Anthropic,Claude-3-5-Sonnet-20241022 (zero shot),0.164,0%
6,OpenAI,O3-Mini-2025-01-31 (scratchpad),0.169,0%
7,Mistral,Mistral-Large-2407 (zero shot),0.173,0%
8,DeepSeek,DeepSeek-V3 (zero shot),0.175,0%
9,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.176,0%
10,OpenAI,GPT-4o-2024-05-13 (zero shot),0.177,0%
11,Anthropic,Claude-3-7-Sonnet-20250219 (zero shot),0.177,0%
12,xAI,Grok-2-1212 (zero shot),0.182,0%
13,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.183,0%
14,Anthropic,Claude-3-5-Sonnet-20241022 (scratchpad),0.184,0%
15,Meta,Llama-3.3-70B-Instruct-Turbo (zero shot),0.187,0%
16,OpenAI,GPT-4o-2024-05-13 (scratchpad),0.193,0%
17,Mistral,Mistral-Large-2407 (scratchpad),0.195,0%
18,DeepSeek,DeepSeek-R1 (zero shot),0.195,0%
19,Google,Gemini-2.0-Flash-Lite-001 (scratchpad),0.196,0%
20,Qwen,QwQ-32B-Preview (zero shot),0.197,0%
21,Meta,Llama-3.3-70B-Instruct-Turbo (scratchpad),0.201,0%
22,Google,Gemini-2.5-Pro-Exp-03-25 (zero shot),0.201,0%
23,Qwen,QwQ-32B-Preview (scratchpad),0.211,1%
24,xAI,Grok-2-1212 (scratchpad),0.211,9%
25,Google,Gemini-2.0-Flash-Lite-001 (zero shot),0.241,0%
26,ForecastBench,Naive Forecaster,0.25,0%
27,Google,Gemini-2.5-Pro-Exp-03-25 (scratchpad),0.25,0%
28,ForecastBench,Always 0.5,0.25,0%
28,ForecastBench,Imputed Forecaster,0.25,100%
30,ForecastBench,Random Uniform,0.332,0%
31,ForecastBench,Always 0,0.338,0%
32,ForecastBench,Always 1,0.662,0%
