Ranking,Organization,Model,Dataset Score (N=119),Pct. Imputed
1,OpenAI,GPT-4.5-Preview-2025-02-27 (zero shot),0.155,0%
2,OpenAI,GPT-4.5-Preview-2025-02-27 (scratchpad),0.156,0%
3,Anthropic,Claude-3-7-Sonnet-20250219 (scratchpad),0.158,0%
4,OpenAI,O3-Mini-2025-01-31 (zero shot),0.159,0%
5,DeepSeek,DeepSeek-R1 (scratchpad),0.159,0%
6,Anthropic,Claude-3-5-Sonnet-20241022 (zero shot),0.165,0%
7,OpenAI,O3-Mini-2025-01-31 (scratchpad),0.166,0%
8,Anthropic,Claude-3-7-Sonnet-20250219 (zero shot),0.167,0%
9,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.167,0%
10,DeepSeek,DeepSeek-V3 (zero shot),0.173,0%
11,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.179,0%
12,DeepSeek,DeepSeek-V3 (scratchpad),0.183,0%
13,Meta,Llama-3.3-70B-Instruct-Turbo (scratchpad),0.185,0%
14,Meta,Llama-3.3-70B-Instruct-Turbo (zero shot),0.187,0%
15,DeepSeek,DeepSeek-R1 (zero shot),0.189,0%
16,Anthropic,Claude-3-5-Sonnet-20241022 (scratchpad),0.204,0%
17,ForecastBench,Imputed Forecaster,0.25,100%
17,ForecastBench,Always 0.5,0.25,0%
19,ForecastBench,Naive Forecaster,0.253,0%
20,ForecastBench,Random Uniform,0.349,0%
21,ForecastBench,Always 0,0.429,0%
22,ForecastBench,Always 1,0.571,0%
