Ranking,Organization,Model,Dataset Score (N=567),Pct. Imputed
1,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.167,0%
2,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.168,0%
3,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),0.18,0%
4,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot),0.18,0%
5,OpenAI,GPT-4 (zero shot),0.18,0%
6,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news),0.181,0%
7,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 1),0.181,0%
8,Anthropic,Claude-3-Opus-20240229 (scratchpad),0.182,0%
9,Google,Gemini-1.5-Pro (scratchpad),0.184,0%
10,Mistral AI,Mistral-Large-Latest (scratchpad),0.185,0%
11,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad),0.187,0%
12,OpenAI,GPT-4o (scratchpad),0.188,0%
13,Meta,Llama-3-70b-Chat-Hf (zero shot),0.189,0%
14,Google,Gemini-1.5-Flash (scratchpad),0.192,0%
15,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 2),0.193,0%
16,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 3),0.193,4%
17,Google,Gemini-1.5-Pro (scratchpad with news),0.195,0%
18,Meta,Llama-3-70b-Chat-Hf (scratchpad),0.195,0%
19,Anthropic,Claude-3-Opus-20240229 (zero shot),0.197,0%
20,Mistral AI,Mistral-Large-Latest (zero shot),0.197,0%
21,Qwen,Qwen1.5-110B-Chat (zero shot),0.198,0%
22,OpenAI,GPT-4 (scratchpad),0.198,0%
23,OpenAI,GPT-4o (scratchpad with news),0.198,0%
24,Qwen,Qwen1.5-110B-Chat (scratchpad with news),0.198,0%
25,Qwen,Qwen1.5-110B-Chat (scratchpad),0.199,0%
26,Mistral AI,Mistral-Large-Latest (superforecaster with news 2),0.199,2%
27,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),0.201,0%
28,Meta,Llama-3-8b-Chat-Hf (zero shot),0.201,0%
29,Qwen,Qwen1.5-110B-Chat (superforecaster with news 1),0.202,0%
30,Google,Gemini-1.5-Pro (zero shot),0.203,0%
31,Google,Gemini-1.5-Flash (zero shot),0.204,0%
32,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),0.205,0%
33,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad),0.205,0%
34,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),0.205,0%
35,Mistral AI,Mistral-Large-Latest (scratchpad with news),0.205,0%
36,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news),0.206,0%
37,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad),0.206,0%
38,Mistral AI,Mistral-Large-Latest (superforecaster with news 1),0.206,0%
39,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot),0.206,0%
40,Google,Gemini-1.5-Pro (superforecaster with news 3),0.207,0%
41,Anthropic,Claude-3-Opus-20240229 (scratchpad with news),0.207,0%
42,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 3),0.208,10%
43,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),0.209,0%
44,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.211,0%
45,Google,Gemini-1.5-Flash (scratchpad with news),0.211,0%
46,Google,Gemini-1.5-Pro (superforecaster with news 1),0.211,0%
47,OpenAI,GPT-4o (zero shot),0.212,0%
48,Anthropic,Claude-2.1 (scratchpad),0.212,0%
49,OpenAI,GPT-4o (superforecaster with news 1),0.212,0%
50,OpenAI,GPT-4o (superforecaster with news 3),0.215,9%
51,Anthropic,Claude-2.1 (zero shot),0.217,0%
52,Anthropic,Claude-2.1 (scratchpad with news),0.219,0%
