Ranking,Organization,Model,Dataset Score (N=233),Pct. Imputed
1,OpenAI,GPT-4.5-Preview-2025-02-27 (scratchpad),0.141,0%
2,OpenAI,GPT-4.5-Preview-2025-02-27 (zero shot),0.146,0%
3,Anthropic,Claude-3-7-Sonnet-20250219 (zero shot),0.153,0%
4,Anthropic,Claude-3-7-Sonnet-20250219 (scratchpad),0.154,0%
5,DeepSeek,DeepSeek-R1 (scratchpad),0.159,0%
6,DeepSeek,DeepSeek-V3 (zero shot),0.16,0%
7,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.164,0%
8,DeepSeek,DeepSeek-V3 (scratchpad),0.164,0%
9,Anthropic,Claude-3-5-Sonnet-20241022 (zero shot),0.165,0%
10,OpenAI,GPT-4o-2024-11-20 (scratchpad with web search),0.167,0%
11,DeepSeek,DeepSeek-R1 (zero shot),0.167,0%
12,Meta,Llama-3.3-70B-Instruct-Turbo (zero shot),0.169,0%
13,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.172,0%
14,OpenAI,GPT-4o-2024-11-20 (zero shot with web search),0.175,0%
15,Meta,Llama-3.3-70B-Instruct-Turbo (scratchpad),0.179,0%
16,Anthropic,Claude-3-5-Sonnet-20241022 (scratchpad),0.197,0%
17,ForecastBench,Imputed Forecaster,0.25,100%
17,ForecastBench,Always 0.5,0.25,0%
19,ForecastBench,Naive Forecaster,0.274,0%
20,ForecastBench,Random Uniform,0.302,0%
21,ForecastBench,Always 0,0.455,0%
22,ForecastBench,Always 1,0.545,0%
